Epoch 1: 25it [00:00, 28.72it/s, loss=8.58e+4]
Epoch 2: 25it [00:00, 36.75it/s, loss=4.54e+4]
Epoch 3: 25it [00:00, 38.04it/s, loss=6.88e+4]
Epoch 4: 25it [00:00, 37.30it/s, loss=3.96e+4]
Epoch 5: 25it [00:00, 39.18it/s, loss=4.46e+4]
Epoch 6: 25it [00:00, 38.57it/s, loss=4.92e+4]
Epoch 7: 25it [00:00, 38.19it/s, loss=7.94e+4]
Epoch 8: 25it [00:00, 37.81it/s, loss=7.88e+4]
Epoch 9: 25it [00:00, 38.48it/s, loss=6.15e+4]
Epoch 10: 25it [00:00, 38.50it/s, loss=5.37e+4]
Epoch 11: 25it [00:00, 38.37it/s, loss=4.41e+4]
Epoch 12: 25it [00:00, 37.26it/s, loss=4.78e+4]
Epoch 13: 25it [00:00, 36.44it/s, loss=5.03e+4]
Epoch 14: 25it [00:00, 35.73it/s, loss=3.43e+4]
Epoch 15: 25it [00:00, 36.94it/s, loss=7.21e+4]
Epoch 16: 25it [00:00, 36.83it/s, loss=6.55e+4]
Epoch 17: 25it [00:00, 37.15it/s, loss=6.93e+4]
Epoch 18: 25it [00:00, 38.86it/s, loss=4.16e+4]
Epoch 19: 25it [00:00, 38.25it/s, loss=5.3e+4]
Epoch 20: 25it [00:00, 38.57it/s, loss=6.32e+4]
Epoch 21: 25it [00:00, 38.13it/s, loss=5.74e+4]
Epoch 22: 25it [00:00, 38.59it/s, loss=5.26e+4]
Epoch 23: 25it [00:00, 37.30it/s, loss=4.98e+4]
Epoch 24: 25it [00:00, 37.14it/s, loss=7.63e+4]
Epoch 25: 25it [00:00, 37.73it/s, loss=5.48e+4]
Epoch 26: 25it [00:00, 36.62it/s, loss=7.02e+4]
Epoch 27: 25it [00:00, 36.42it/s, loss=5.51e+4]
Epoch 28: 25it [00:00, 36.42it/s, loss=9.58e+4]
Epoch 29: 25it [00:00, 37.78it/s, loss=6.24e+4]
Epoch 30: 25it [00:00, 37.41it/s, loss=5.45e+4]
Epoch 31: 25it [00:00, 37.36it/s, loss=6.02e+4]
Epoch 32: 25it [00:00, 36.94it/s, loss=4.51e+4]
Epoch 33: 25it [00:00, 36.62it/s, loss=3.69e+4]
Epoch 34: 25it [00:00, 36.78it/s, loss=8.43e+4]
Epoch 35: 25it [00:00, 35.81it/s, loss=4.02e+4]
Epoch 36: 25it [00:00, 38.96it/s, loss=3.74e+4]
Epoch 37: 25it [00:00, 36.72it/s, loss=4.18e+4]
